truck_id,torque,gear,elevation,speed,rpm,voltage,weight,label
truck_003,336.67197363275886,5,-1.8796271911512696,29.35967122017216,1269.7003346018394,28.19705687464961,13.558515842322794,Normal
truck_003,97.60025265177408,2,9.439975445336495,76.313162540945,1200.9345190092172,28.953269355747306,4.247013931549629,Overload
truck_001,122.22559496488923,1,5.495493205167783,43.991658302915326,1255.9987958563386,28.842533113048756,7.650906915514453,Overload
truck_003,240.92517339703525,6,-1.0065243568328053,50.8540663048167,1910.897482634451,23.278702476319985,9.47283981060443,Normal
truck_003,294.2249665488069,1,14.312640661491187,68.50384088698766,1565.5365230080447,23.586032684038305,12.163690463053356,Overload
truck_003,297.72714748527386,4,4.903538202225404,22.063311266913104,2291.1844824945383,24.5526798896001,12.199162225905498,Overload
truck_002,189.63630568775125,5,14.391692555291172,66.50796940166687,2327.398729877027,28.368964102565894,9.101870493894936,Normal
truck_002,246.72019629294698,6,-1.080342751617096,22.713637334632285,1590.3963969159172,25.332063738136892,12.72726395027705,Normal
truck_002,219.16290145742664,4,5.85392166316497,28.45545349848576,2162.6363769048476,23.447303862078623,10.476305588668957,Normal
truck_003,222.70361280018747,1,-1.0256863693165519,20.331327027416144,2178.5537141458008,27.241144063085702,9.080817768476436,Overload
truck_003,336.3522640542379,2,-2.6826188094974057,71.78620555253562,1947.9577521930696,24.985388149115895,13.482106486374468,Overload
truck_003,190.62359807081157,5,9.59212356676128,58.253448281312785,2264.6552910915916,25.833289550971696,7.731787860587946,Normal
truck_001,308.3359178877682,6,4.875911927287815,51.363969762919645,1713.0492220302594,23.15251476046457,15.660545144669245,Normal
truck_001,131.85724750609256,1,1.287119621526534,50.514241469882165,2289.0797687113118,24.49575337489325,6.420630428024754,Overload
truck_001,219.39943011748707,4,13.59395304685146,68.48722277386501,1960.084507812508,28.228763541126305,10.478093095620078,Normal
truck_002,307.23228720165247,2,-2.558240905986533,41.377870284618496,2288.1941298549045,24.632793496307812,14.59936310702642,Overload
truck_003,225.89212208431908,6,5.2149460515513155,45.04466018892674,1466.5293725648762,23.7191922040021,9.125293463515076,Normal
truck_003,149.6667546452152,1,3.076723421160816,23.893534826538893,1504.6984967212136,24.481256377031606,6.019492506075167,Overload
truck_003,232.76805364305514,1,0.33562028550569956,78.59689734995916,1693.2444159818774,23.19830439740329,9.966982070708625,Overload
